dataset,method_key,method,n,mean_ms,std_ms,sem_ms,ci95_lower_ms,ci95_upper_ms
arguana,bm25,BM25,10,566.7870124569163,275.53121224331255,87.13061971561395,369.6838569681937,763.8901679456388
arguana,bm25_hamming,BM25 + Hamming,10,573.624814649811,274.79830810963597,86.89885507871689,377.0459471945284,770.2036821050935
arguana,bm25_cosine_int8,BM25 + Cosine (int8),10,584.4884133944288,276.8860991344326,87.55907257039833,386.4160302113344,782.5607965775232
arguana,bm25_cosine_float,BM25 + Cosine (float),10,612.2756221401505,274.8766571531192,86.92363122170715,415.640707155536,808.910537124765
arguana,hamming,Hamming,10,1.9209766935091466,0.9651829906662464,0.30521766093583763,1.2305263756106277,2.6114270114076654
arguana,hamming_cosine_int8,Hamming + Cosine (int8),10,10.405890456167981,1.2722532996226983,0.4023218187472366,9.495775272138918,11.316005640197044
arguana,hamming_cosine_float,Hamming + Cosine (float),10,38.653995480854064,1.0167220500408671,0.3215157425444831,37.92667634090468,39.38131462080345
arguana,cosine_int8,Cosine (int8),10,40.03584296442568,1.0518086404579334,0.3326110966492198,39.28342438971448,40.78826153913688
arguana,cosine_int8_float,Cosine (int8) + Cosine (float),10,91.33836252614856,38.83011295508797,12.279159873968945,63.560973064105404,119.1157519881917
arguana,cosine_float,Cosine (float),10,71.72780039487407,3.300867263302007,1.0438258805921072,69.36650220237848,74.08909858736965
arguana,rrf_hamming,RRF (BM25 + Hamming),10,574.7347095934674,274.3420774875209,86.75458228829697,378.48220986443016,770.9872093225047
arguana,rrf_cosine_int8,RRF (BM25 + Cosine (int8)),10,626.880290072877,286.28036920079796,90.5298016068439,422.0876509212546,831.6729292244993
arguana,rrf_cosine_float,RRF (BM25 + Cosine (float)),10,712.7352182823233,306.3522507079605,96.8770878556086,493.58402007872735,931.8864164859193
fiqa,bm25,BM25,10,53.05370087036863,20.230734734887722,6.3975200500927905,38.581505064906096,67.52589667583116
fiqa,bm25_hamming,BM25 + Hamming,10,70.67072115256451,21.342138619910287,6.74897681779591,55.40347490262846,85.93796740250056
fiqa,bm25_cosine_int8,BM25 + Cosine (int8),10,112.60448163258843,20.92416139394163,6.616800813381928,97.63623827778751,127.57272498738935
