dataset,method_key,method,measure,value
fiqa,hamming_cosine_float,Hamming + cos_float,AP,0.5754884755631252
fiqa,hamming_cosine_float,Hamming + cos_float,RR,0.7210262553634564
fiqa,hamming_cosine_float,Hamming + cos_float,P@10,0.17577160493827163
fiqa,hamming_cosine_float,Hamming + cos_float,nDCG@10,0.6453355936358999
fiqa,cosine_int8,cos_int8,AP,0.5779623400870939
fiqa,cosine_int8,cos_int8,RR,0.7257309838040126
fiqa,cosine_int8,cos_int8,P@10,0.17685185185185187
fiqa,cosine_int8,cos_int8,nDCG@10,0.6489105769153024
fiqa,cosine_int8_cosine_float,cos_int8 + cos_float,AP,0.5754941796686125
fiqa,cosine_int8_cosine_float,cos_int8 + cos_float,RR,0.7210259861689863
fiqa,cosine_int8_cosine_float,cos_int8 + cos_float,P@10,0.17577160493827163
fiqa,cosine_int8_cosine_float,cos_int8 + cos_float,nDCG@10,0.6453355936358999
fiqa,cosine_float,cos_float,AP,0.575497414425897
fiqa,cosine_float,cos_float,RR,0.7210259335367714
fiqa,cosine_float,cos_float,P@10,0.17577160493827163
fiqa,cosine_float,cos_float,nDCG@10,0.6453355936358999
fiqa,hybrid_hamming,RRF(Hamming),AP,0.38265523889058023
fiqa,hybrid_hamming,RRF(Hamming),RR,0.5328927734739001
fiqa,hybrid_hamming,RRF(Hamming),P@10,0.1259259259259259
fiqa,hybrid_hamming,RRF(Hamming),nDCG@10,0.44563478355236913
fiqa,hybrid_cosine_int8,RRF(cos_int8),AP,0.39219445952455817
fiqa,hybrid_cosine_int8,RRF(cos_int8),RR,0.5425662083455961
fiqa,hybrid_cosine_int8,RRF(cos_int8),P@10,0.1270061728395062
fiqa,hybrid_cosine_int8,RRF(cos_int8),nDCG@10,0.4535850859092883
fiqa,hybrid_cosine_float,RRF(cos_float),AP,0.39049409124375073
fiqa,hybrid_cosine_float,RRF(cos_float),RR,0.5418457357183983
fiqa,hybrid_cosine_float,RRF(cos_float),P@10,0.12731481481481483
fiqa,hybrid_cosine_float,RRF(cos_float),nDCG@10,0.45261868329775345
fiqa,baseline,MTEB (Qwen3-8B),AP,0.57834
fiqa,baseline,MTEB (Qwen3-8B),RR,0.724407
fiqa,baseline,MTEB (Qwen3-8B),P@10,0.17469
fiqa,baseline,MTEB (Qwen3-8B),nDCG@10,0.64567
