dataset,method_key,method,measure,value
webis-touche2020,bm25_hamming,BM25 + Hamming,RR,0.5878672348060103
webis-touche2020,bm25_hamming,BM25 + Hamming,P@10,0.2938775510204082
webis-touche2020,bm25_hamming,BM25 + Hamming,nDCG@10,0.3332726406734724
webis-touche2020,bm25_cosine_int8,BM25 + cos_int8,AP,0.2470926972964358
webis-touche2020,bm25_cosine_int8,BM25 + cos_int8,RR,0.6520975056689342
webis-touche2020,bm25_cosine_int8,BM25 + cos_int8,P@10,0.31632653061224486
webis-touche2020,bm25_cosine_int8,BM25 + cos_int8,nDCG@10,0.3623248466217343
webis-touche2020,bm25_cosine_float,BM25 + cos_float,AP,0.24818871628329975
webis-touche2020,bm25_cosine_float,BM25 + cos_float,RR,0.6214771622934887
webis-touche2020,bm25_cosine_float,BM25 + cos_float,P@10,0.3163265306122449
webis-touche2020,bm25_cosine_float,BM25 + cos_float,nDCG@10,0.3606478640580267
webis-touche2020,hamming,Hamming,AP,0.23334805425340405
webis-touche2020,hamming,Hamming,RR,0.5867739403453689
webis-touche2020,hamming,Hamming,P@10,0.28775510204081634
webis-touche2020,hamming,Hamming,nDCG@10,0.3288134235084042
webis-touche2020,hamming_cosine_int8,Hamming + cos_int8,AP,0.24308647128935248
webis-touche2020,hamming_cosine_int8,Hamming + cos_int8,RR,0.6486961451247165
webis-touche2020,hamming_cosine_int8,Hamming + cos_int8,P@10,0.3142857142857143
webis-touche2020,hamming_cosine_int8,Hamming + cos_int8,nDCG@10,0.36006946232116255
webis-touche2020,hamming_cosine_float,Hamming + cos_float,AP,0.24417875052687205
webis-touche2020,hamming_cosine_float,Hamming + cos_float,RR,0.618075801749271
webis-touche2020,hamming_cosine_float,Hamming + cos_float,P@10,0.3163265306122449
webis-touche2020,hamming_cosine_float,Hamming + cos_float,nDCG@10,0.3596811949226866
webis-touche2020,cosine_int8,cos_int8,AP,0.2432226824981613
webis-touche2020,cosine_int8,cos_int8,RR,0.6486961451247165
webis-touche2020,cosine_int8,cos_int8,P@10,0.3142857142857143
webis-touche2020,cosine_int8,cos_int8,nDCG@10,0.36006946232116255
webis-touche2020,cosine_int8_cosine_float,cos_int8 + cos_float,AP,0.2443256161492479
webis-touche2020,cosine_int8_cosine_float,cos_int8 + cos_float,RR,0.618075801749271
webis-touche2020,cosine_int8_cosine_float,cos_int8 + cos_float,P@10,0.3163265306122449
webis-touche2020,cosine_int8_cosine_float,cos_int8 + cos_float,nDCG@10,0.3596811949226866
webis-touche2020,cosine_float,cos_float,AP,0.24429014814831487
webis-touche2020,cosine_float,cos_float,RR,0.618075801749271
webis-touche2020,cosine_float,cos_float,P@10,0.3163265306122449
webis-touche2020,cosine_float,cos_float,nDCG@10,0.3596811949226866
webis-touche2020,hybrid_hamming,RRF(Hamming),AP,0.2778295637788754
webis-touche2020,hybrid_hamming,RRF(Hamming),RR,0.6797282649323465
webis-touche2020,hybrid_hamming,RRF(Hamming),P@10,0.34285714285714286
webis-touche2020,hybrid_hamming,RRF(Hamming),nDCG@10,0.3942274735541513
webis-touche2020,hybrid_cosine_int8,RRF(cos_int8),AP,0.29099730509116695
webis-touche2020,hybrid_cosine_int8,RRF(cos_int8),RR,0.6822643343051507
webis-touche2020,hybrid_cosine_int8,RRF(cos_int8),P@10,0.3469387755102041
webis-touche2020,hybrid_cosine_int8,RRF(cos_int8),nDCG@10,0.4074146972518749
webis-touche2020,hybrid_cosine_float,RRF(cos_float),AP,0.2903222843264621
webis-touche2020,hybrid_cosine_float,RRF(cos_float),RR,0.6996720116618075
webis-touche2020,hybrid_cosine_float,RRF(cos_float),P@10,0.3551020408163265
webis-touche2020,hybrid_cosine_float,RRF(cos_float),nDCG@10,0.41395641378512005
webis-touche2020,baseline,MTEB (Qwen3-8B),AP,0.25425
webis-touche2020,baseline,MTEB (Qwen3-8B),RR,0.575883
webis-touche2020,baseline,MTEB (Qwen3-8B),P@10,0.31837
webis-touche2020,baseline,MTEB (Qwen3-8B),nDCG@10,0.35929
